zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,tot_pr_1,tot_rv_1,tot_pr_2,tot_rv_2,tot_pr_3,tot_rv_3,tot_pr_4,tot_rv_4,zero_check
10170,New York,NY,40.75,-73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,138895,0,2767,0,629,765376,142291,527.0037037037036,0,0,0,0,0,0,0,0,0
10588,Shrub Oak,NY,41.32990854526551,-73.82446118453012,1,32,7,262,0,0,0,0,0,0,2,11,0,0,0,0,1,5,1,3,0,0,0,0,1350,115883,12993,6342,0,37,519296,135255,100.18888888888887,2,37,10,276,0,0,0,0,325
10709,Eastchester,NY,40.955366337534784,-73.81416547209685,3,93,10,1296,1,29,0,0,1,3,9,68,1,10,1,3,0,0,2,8,1,5,0,0,4850,696197,37103,38071,38,1005,3436458,772414,159.26061855670102,4,96,21,1372,3,44,1,3,1544
10917,Woodbury,NY,41.32080270769024,-74.12455139071496,11,157,12,777,0,0,0,0,3,5,24,765,30,184,13,47,0,0,0,0,0,0,0,0,1010,90851,6895,5275,4,29,408984,103054,102.03366336633663,14,162,36,1542,30,184,13,47,2028
10922,Fort Montgomery,NY,41.3353350034551,-73.9831065586365,0,0,2,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,62285,6805,2677,0,0,262344,71767,87.52073170731707,0,0,2,195,0,0,0,0,197
10956,New City,NY,41.14279061893525,-73.99130804796192,15,455,36,2156,1,40,0,0,2,9,9,81,2,13,1,27,3,4,2,11,0,0,0,0,15970,1855595,151516,111671,481,2372,8871546,2121635,132.8512836568566,20,468,47,2248,3,53,1,27,2867
10962,Orangeburg,NY,41.0472883332716,-73.94982469711051,5,80,14,744,1,152,0,0,0,0,2,59,0,0,0,0,1,2,1,1,0,0,0,0,2540,280347,21871,16119,45,238,1322782,318620,125.44094488188976,6,82,17,804,1,152,0,0,1062
10987,Tuxedo Park,NY,41.19360860776286,-74.19261443195724,3,64,3,355,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1890,300017,17730,14235,33,846,1489183,332861,176.11693121693122,3,64,4,356,0,0,0,0,427
11215,Brooklyn,NY,40.6685033820253,-73.98461118731423,36,4104,44,8508,2,193,0,0,10,254,46,1895,16,455,3,14,11,243,18,685,6,108,0,0,32930,4521918,121489,42776,280,9607,22362158,4696070,142.6076525964166,57,4601,108,11088,24,756,3,14,16651
11542,Glen Cove,NY,40.864352432787705,-73.62785287847902,25,686,27,1701,5,226,1,31,2,20,11,55,5,34,0,0,1,4,3,11,0,0,0,0,13520,1099738,68054,50771,243,2471,5046694,1221277,90.33113905325443,28,710,41,1767,10,260,1,31,2848
11706,Bay Shore,NY,40.723218096877105,-73.24161575524319,12,268,29,3239,6,1196,0,0,3,17,17,149,10,97,1,2,1,5,2,36,1,2,0,0,32710,1906793,126628,91521,1411,1289,8239103,2127642,65.04561296239682,16,290,48,3424,17,1295,1,2,5093
11959,Quogue,NY,40.816657841205604,-72.608235552907,0,0,0,0,0,0,1,13,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,720,145112,8095,4365,0,955,740102,158527,220.17638888888888,0,0,2,19,0,0,1,13,35
12065,Clifton Park,NY,42.85866910961068,-73.77413297633358,35,1198,53,3293,1,16,1,8,4,28,38,247,16,87,1,3,2,11,4,25,2,6,0,0,22620,1863421,177298,52756,317,1352,8081997,2095144,92.62351900972591,41,1237,95,3565,19,109,2,11,5079
