zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4
80105,Deer Trail,CO,39.61,-104.04,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80207,Denver,CO,39.76165562505797,-104.9134109924815,15,863,9,860,2,397,0,0,5,190,8,225,3,52,0,0,3,80,2,21,0,0,0,0
80454,Indian Hills,CO,39.617734115147705,-105.23619560353798,2,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80477,Steamboat Springs,CO,40.486492174430325,-106.8358508852213,1,119,1,533,1,131,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0
80514,Dacono,CO,40.087329814214115,-104.934889293034,5,184,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80540,Lyons,CO,40.240619948435906,-105.29796951352598,3,235,10,903,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,3,0,0,0,0
80648,Nunn,CO,40.7,-104.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80735,Idalia,CO,39.7024759,-102.29534155,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80750,Snyder,CO,40.41,-103.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80951,Colorado Springs,CO,38.8676931714087,-104.675878462706,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81071,Sheridan Lake,CO,38.46,-102.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81073,Springfield,CO,37.35325235904957,-102.61016862712485,1,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81141,Manassa,CO,37.174023,-105.93749,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81433,Silverton,CO,37.810910645725656,-107.664879009037,3,142,12,609,0,0,0,0,0,0,5,13,1,5,1,1,0,0,0,0,0,0,0,0
81501,Grand Junction,CO,39.07396823942104,-108.55706728949279,25,686,41,3962,3,376,0,0,7,25,34,162,11,98,0,0,0,0,3,21,1,7,0,0
06021,Colebrook,CT,42.02,-73.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06078,Suffield,CT,41.98484189557653,-72.64891673500831,2,39,6,254,2,80,0,0,1,2,4,16,0,0,0,0,0,0,1,2,0,0,0,0
06241,Killingly,CT,41.84096144085454,-71.87590035942327,7,124,6,246,0,0,0,0,2,4,3,15,1,1,0,0,1,1,0,0,0,0,0,0
06351,Jewett City,CT,41.594734662254076,-71.97659749211572,8,167,8,162,0,0,0,0,1,1,12,55,1,4,0,0,1,1,0,0,0,0,0,0
06365,Preston,CT,41.49197718296254,-72.0279378895204,1,9,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06413,Clinton,CT,41.27922379047795,-72.52317084084413,9,168,13,1549,1,43,0,0,2,4,23,212,10,75,2,6,0,0,1,3,0,0,0,0
