zip,city,state,avg_lat,avg_long,rest_pr_1,rest_rv_1,rest_pr_2,rest_rv_2,rest_pr_3,rest_rv_3,rest_pr_4,rest_rv_4,shop_pr_1,shop_rv_1,shop_pr_2,shop_rv_2,shop_pr_3,shop_rv_3,shop_pr_4,shop_rv_4,loca_pr_1,loca_rv_1,loca_pr_2,loca_rv_2,loca_pr_3,loca_rv_3,loca_pr_4,loca_rv_4,range_of_agi,num_of_returns,agi,taxable_pen_ann_amount,real_estate_tax_amount,pers_prop_tax_amount,net_invsmnt_inc_tax_amount,total_all_a_cols,total_chosen_a_cols,affluence,zipcode
10157,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10158,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10159,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10160,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10161,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10162,New York,NY,40.77,-73.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,750.0,212366.0,4988.0,923.0,0.0,644.0,1058817.0,218921.0,291.8946666666667,10162
10163,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10164,New York,NY,40.71,-73.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10165,New York,NY,40.75,-73.98,0,0,1,60,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,21.0,100.0,39801.0,0.0,804.0,0.0,473.0,196494.0,41078.0,410.78,10165
10166,New York,NY,40.71,-73.99,1,7,3,524,2,449,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10167,New York,NY,40.75,-73.97,1,81,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10168,New York,NY,40.75,-73.98,2,441,1,89,0,0,0,0,0,0,4,182,0,0,0,0,0,0,1,57,0,0,0,0,,,,,,,,,,,
10169,New York,NY,40.75,-73.98,1,31,14,1529,0,0,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10170,New York,NY,40.75,-73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,270.0,138895.0,0.0,2767.0,0.0,629.0,765376.0,142291.0,527.0037037037036,10170
10171,New York,NY,40.76,-73.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10172,New York,NY,40.76,-73.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10173,New York,NY,40.75,-73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10174,New York,NY,40.75,-73.98,2,125,1,23,0,0,0,0,0,0,1,58,0,0,1,39,1,13,0,0,0,0,0,0,,,,,,,,,,,
10175,New York,NY,40.71,-73.99,1,159,0,0,0,0,0,0,0,0,2,217,0,0,0,0,0,0,1,170,0,0,0,0,,,,,,,,,,,
10176,New York,NY,40.71,-73.99,0,0,0,0,1,529,0,0,0,0,2,166,1,98,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
